ds_name,method,noise_type,noise_level,random_state,accuracy_final,accuracy_max,auroc,fpr,fpr_50,fpr_10
digits,aum,uniform,0.05,42,0.9593767390094602,0.9593767390094602,0.998983147265875,0.10465116279069768,0.0,0.0
digits,naive,uniform,0.05,42,0.9593767390094602,0.9593767390094602,0.9602218587783545,0.9543683917640512,0.023809523809523808,0.0
digits,positive,uniform,0.05,42,0.9593767390094602,0.9593767390094602,0.998456943753111,0.11494252873563218,0.023809523809523808,0.0
digits,entropy,uniform,0.05,42,0.9593767390094602,0.9593767390094602,0.989127497688971,0.37398373983739835,0.2807017543859649,0.1
digits,cross_val,uniform,0.05,42,0.9593767390094602,0.9593767390094602,0.9995520159283225,0.04938271604938271,0.0,0.0
digits,normalized_margins,uniform,0.05,42,0.9593767390094602,0.9593767390094602,0.9985636066273199,0.16304347826086957,0.0,0.0
digits,cleanlab,uniform,0.05,42,0.9593767390094602,0.9593767390094602,0.9320841925620421,0.9543683917640512,0.0,0.0
spirals,aum,uniform,0.05,42,0.9746666666666667,0.9806666666666667,0.9996396363098758,0.04,0.0,0.0
spirals,naive,uniform,0.05,42,0.9746666666666667,0.9806666666666667,0.9779762344766411,0.4965034965034965,0.0,0.0
spirals,positive,uniform,0.05,42,0.9746666666666667,0.9806666666666667,0.9990390301596689,0.12195121951219512,0.0,0.0
spirals,entropy,uniform,0.05,42,0.9746666666666667,0.9806666666666667,0.9523164917208752,0.7684887459807074,0.40625,0.1111111111111111
spirals,cross_val,uniform,0.05,42,0.9746666666666667,0.9806666666666667,0.9988819485511532,0.05263157894736842,0.02564102564102564,0.0
spirals,normalized_margins,uniform,0.05,42,0.9746666666666667,0.9806666666666667,0.9986417060910704,0.06493506493506493,0.0,0.0
spirals,cleanlab,uniform,0.05,42,0.9746666666666667,0.9806666666666667,0.9732684062684802,0.05263157894736842,0.0,0.0
letters,aum,uniform,0.05,42,0.947,0.947,0.9970635106248183,0.23120452708164915,0.01764705882352941,0.00980392156862745
letters,naive,uniform,0.05,42,0.947,0.947,0.9932869548827391,0.22176759410801963,0.07083333333333333,0.07083333333333333
letters,positive,uniform,0.05,42,0.947,0.947,0.9958081520924883,0.29398663697104677,0.02529182879377432,0.0
letters,entropy,uniform,0.05,42,0.947,0.947,0.775356067525965,0.9212552786287985,0.8783685360524399,0.8249566724436742
letters,cross_val,uniform,0.05,42,0.947,0.947,0.9990524793134019,0.04133064516129032,0.0,0.0
letters,normalized_margins,uniform,0.05,42,0.947,0.947,0.9969902809393318,0.2458366375892149,0.003976143141153081,0.0
letters,cleanlab,uniform,0.05,42,0.947,0.947,0.9342041519655709,0.9499,0.003976143141153081,0.0
mushrooms,aum,uniform,0.05,42,0.999015263417036,0.999015263417036,0.999996577280799,0.0,0.0,0.0
mushrooms,naive,uniform,0.05,42,0.999015263417036,0.999015263417036,0.9983262903106864,0.0166270783847981,0.0166270783847981,0.0166270783847981
mushrooms,positive,uniform,0.05,42,0.999015263417036,0.999015263417036,0.999996577280799,0.0,0.0,0.0
mushrooms,entropy,uniform,0.05,42,0.999015263417036,0.999015263417036,0.6107486140320908,0.9446607341490545,0.9239130434782609,0.9248747913188647
mushrooms,cross_val,uniform,0.05,42,0.999015263417036,0.999015263417036,0.9999698178397727,0.0,0.0,0.0
mushrooms,normalized_margins,uniform,0.05,42,0.999015263417036,0.999015263417036,0.9999698178397725,0.0,0.0,0.0
mushrooms,cleanlab,uniform,0.05,42,0.999015263417036,0.999015263417036,0.9964017886508233,0.0,0.0,0.0
satelite,aum,uniform,0.05,42,0.9115773115773116,0.9115773115773116,0.9815340076890287,0.5682137834036568,0.24651162790697675,0.0
satelite,naive,uniform,0.05,42,0.9115773115773116,0.9115773115773116,0.971621706253245,0.5498533724340176,0.3305785123966942,0.30569948186528495
satelite,positive,uniform,0.05,42,0.9115773115773116,0.9115773115773116,0.9822360406552847,0.5397301349325337,0.16062176165803108,0.0
satelite,entropy,uniform,0.05,42,0.9115773115773116,0.9115773115773116,0.8737532601602858,0.8707912457912458,0.7879581151832461,0.6333333333333333
satelite,cross_val,uniform,0.05,42,0.9115773115773116,0.9115773115773116,0.9926569371968379,0.3550420168067227,0.029940119760479042,0.0
satelite,normalized_margins,uniform,0.05,42,0.9115773115773116,0.9115773115773116,0.988556862650028,0.4438405797101449,0.0847457627118644,0.0
satelite,cleanlab,uniform,0.05,42,0.9115773115773116,0.9115773115773116,0.9559855633738795,0.9496503496503497,0.0898876404494382,0.0
sensorless_drive,aum,uniform,0.05,42,0.9948213095421218,0.9948213095421218,0.9999183954263051,0.006002824858757062,0.0,0.0
sensorless_drive,naive,uniform,0.05,42,0.9948213095421218,0.9948213095421218,0.9994033785447576,0.013551077136900626,0.013551077136900626,0.013551077136900626
sensorless_drive,positive,uniform,0.05,42,0.9948213095421218,0.9948213095421218,0.9999193186786461,0.006002824858757062,0.0,0.0
sensorless_drive,entropy,uniform,0.05,42,0.9948213095421218,0.9948213095421218,0.7925240127608051,0.9269210799584632,0.842608326253186,0.772239263803681
sensorless_drive,cross_val,uniform,0.05,42,0.9948213095421218,0.9948213095421218,0.9999667629157233,0.003186968838526912,0.0,0.0
sensorless_drive,normalized_margins,uniform,0.05,42,0.9948213095421218,0.9948213095421218,0.9999493608239006,0.0035398230088495575,0.0,0.0
sensorless_drive,cleanlab,uniform,0.05,42,0.9948213095421218,0.9948213095421218,0.9856214320396988,0.00389242745930644,0.0,0.0
cardiotocography,aum,uniform,0.05,42,0.9416745061147695,0.9416745061147695,0.9939506626597193,0.384180790960452,0.0,0.0
